Small Unit Installation Postcode,"Previous Years (2001-2019) 
- Installations Quantity","Previous Years (2001-2019) 
- SGU Rated Output In kW","May 2020 
- Installations Quantity","May 2020 
- SGU Rated Output In kW","Jun 2020 
- Installations Quantity","Jun 2020 
- SGU Rated Output In kW","Installations 
Quantity Total","SGU Rated Output 
In kW Total"
0837,1.00,4.00,0.00,0.00,0.00,0.00,1.00,4.00
2484,1.00,1.90,0.00,0.00,0.00,0.00,1.00,1.90
2527,1.00,4.00,0.00,0.00,0.00,0.00,1.00,4.00
3409,1.00,1.05,0.00,0.00,0.00,0.00,1.00,1.05
3691,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00
3740,1.00,0.50,0.00,0.00,0.00,0.00,1.00,0.50
3777,1.00,0.20,0.00,0.00,0.00,0.00,1.00,0.20
3898,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00
4521,1.00,0.50,0.00,0.00,0.00,0.00,1.00,0.50
4873,1.00,1.50,0.00,0.00,0.00,0.00,1.00,1.50
5048,1.00,1.50,0.00,0.00,0.00,0.00,1.00,1.50
6171,1.00,1.08,0.00,0.00,0.00,0.00,1.00,1.08
7012,2.00,2.52,0.00,0.00,0.00,0.00,2.00,2.52
7109,1.00,5.00,0.00,0.00,0.00,0.00,1.00,5.00
7150,1.00,0.36,0.00,0.00,0.00,0.00,1.00,0.36
7261,1.00,6.00,0.00,0.00,0.00,0.00,1.00,6.00
7265,0.00,0.00,1.00,6.30,0.00,0.00,1.00,6.30
7302,1.00,6.00,0.00,0.00,0.00,0.00,1.00,6.00
7321,0.00,0.00,0.00,0.00,1.00,6.30,1.00,6.30
